Nom,Description,Categories,Genres,Mots-cles
Sunshine & Overcast,"Sunshine & Overcast est un roman visuel. Vous jouerez un rôle dans l'histoire et pourrez parfois choisir une action ou une réponse de dialogue pour ce personnage. À la fin de chaque scène, vous aurez deux choix. Vous ne pouvez faire qu'un choix à chaque fois à travers l'histoire. Les choix changent le flux de l'histoire. Tous les choix comptent ! Il y a plusieurs fins, alors assurez-vous d'essayer à nouveau après avoir terminé l'histoire!","Un seul joueur,Steam Cloud","Casual, libre de jouer, indie,RPG","Gratuit à jouer,Inde,RPG,Casual,Visual Novel"
Mémoire Inc.,"Briefcase Inc. est une plate-forme de précision hardcore où vous basculez entre trois personnages différents pour collecter des mallettes et faire votre chemin à travers les niveaux. Vous contrôlez trois employés de bureau particulièrement qualifiés alors qu'ils passent par des niveaux mortels remplis de risques insta-kill. Un personnage peut jump mural, on peut pirater des terminaux et on peut utiliser un bouclier, et ils ont tous différentes hauteurs et longueurs de saut. 3 épisodes avec 30 niveaux mortels Speed Run mode pour battre l'imbattable. En jeu Steam Online Leaderboard. 3 personnages différents avec des compétences différentes, hauteurs de saut et vitesses. Saut au mur. Peut sauter plus haut. Vitesse moyenne de fonctionnement. - Oui. Hacker les ordinateurs pour déverrouiller les portes. Peut courir plus vite. - Oui. Il a un bouclier pour passer au laser. Très lent.","Un seul joueur, Succès d'équipe, Support complet du contrôleur,Steam Leaderboards","Aventure, indie","Indie,Adventure,Action,Pixel Graphics,2D Platformer"
C'est Raining Fists et Metal,"Montrez à vos adversaires ce qu'est le vrai Metal ! Combattez votre chemin jusqu'au sommet en tirant vos adversaires hors de votre autel de gloire. Conquérir la scène et gagner l'éloge de la foule dans ce jeu de braquage spectaculaire! Remeber, le rythme est la clé des portes du métal ! Caractéristiques principales 1 à 4 joueurs sur le même écran Jouer avec des amis ou contre l'ordinateur Dominer vos adversaires moussant et les combattre au rythme du Metal pour les jeter hors de la scène Jouer de nombreux morceaux de métal composés spécifiquement pour le jeu Sélectionnez votre guitariste et personnalisez ses vêtements et son instrument Jouer sur différentes cartes, chacune avec des power ups uniques Mode Aventure (Singleplayer et Co-OP) Personnages uniques avec une personnalité définie Combattez dans le temps avec la musique : Attaquez les ennemis et mettez-les en feu, jouez à temps pour vous protéger de leurs coups et les lancer hors scène pour gagner votre victoire. Ramassez des objets comme des amplis et des instruments pour amener la terreur à la bataille. Prouvez qui est le vrai dieu de Metal en jouant sous les projecteurs jusqu'à ce que vous ayez l'attaque finale: Un solo de guitare qui dévastera vos adversaires ! Multijoueur local nécessite un contrôleur pour chaque joueur!","Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Succès,Steam Cloud,Steam Cloud","Action, Casual, Indie","Lutte,Action,Indie,Casual,Musique"
Super Toxicboy,"2D Pixel art Platformer Adventure. Recueillir des tasses pour débloquer des épisodes. Plus de 100 niveaux. Génial Abilite: Dash, Jump Forces, Spit, Laser. Des combats de patrons. Des étoiles pour collectionner des trophées pour déverrouiller des cartes d'art Pixel. Mini cartes, cartes géantes, extras et quelques défis!","Un seul joueur, contrôleur partiel Appui","Action, Aventure, Indie","Action,Inde,Adventure,Racing,Platformer,Superhero,Precision Platformer"
Cendres d'Hadès,"Cinders of Hades est un jeu d'arcade de jeu de tir à vague relaxant. C'est un jeu de réalité virtuelle que tous les âges apprécieront. Il a des influences d'arcade classiques traduites en VR que les joueurs d'arcade vétérans apprécieront. Le truc sympa avec Cinders of Hades est qu'il est facile de prendre et d'apprendre. C'est un grand jeu pour les gens qui sont nouveaux en VR. Vous êtes le Magicien qui protège le château d'une vague impitoyable de pierres de lave, d'insectes, de Dragons et d'autres créatures visant à détruire votre château. Une fois que toutes les tours du château sont détruites, c'est Game Over ! Comme un jeu de style arcade, le temps de jeu est d'environ 5 minutes jusqu'à ce que votre château est effacé, et puis vous pouvez le jouer à nouveau. Si vous voulez faire sauter un peu de 'steam' après une longue journée et profiter d'un peu de chaos qui se calme avec la physique cool, Cinders of Hades est le jeu pour vous! En raison de la physique du jeu, pas deux jeux sont identiques, et cette imprévisibilité rend le jeu encore plus amusant! Holon Studios a travaillé à développer une série de jeux vidéo VR et AR qui peuvent être appréciés par tous les âges. Cinders of Hades est notre premier lancement, et il sera disponible en janvier 2021.","Un seul joueur, Succès d'équipe, Panneaux de tête à vapeur","Action, casual","Bullet Hell, Shoot 'Em Up,Casual,Shooter,Arcade,3D,First-Person,VR,Dragons,Relaxing,Action,Démons,Fantasy,Magic,Physics,Destruction,Singleplayer,Early Access"
Enfants au sol,"Floor Kids est un jeu unique en son genre avec un gameplay rythmique unique. Des contrôles innovants vous permettent de jouer comme vous voulez avec un système de notation dynamique qui récompense vos mouvements basés sur la musicalité, l'originalité et le style. Construisez votre équipe de bboys et de bgirls, débloquez de nouveaux lieux pendant que vous traversez la ville, en bustant des centaines de mouvements différents et d'innombrables combinaisons sur votre voyage du coin au club. Avec : 8 personnages uniques chacun avec 16 mouvements et plus de 100 transitions entre eux 8 emplacements différents et plus de 40 titres différents Animations à la main stylisées par l'animateur primé JonJon Musique originale et design sonore par le DJ/producteur Kid Koala de renommée mondiale Un mode d'histoire mono-joueur ainsi que des batailles de rupture bi-joueur Des contrôles freestyle innovants qui permettent l'improvisation et la créativité Un système de notation qui récompense la musicalité, l'originalité, la sensation et le style","Single-player,Multi-player,PvP,Shared/Split Screen PvP, Écran partagé/split, Réalisations de l'équipe, Prise en charge complète des contrôleurs,Steam Cloud,Remote Play sur TV,Remote Play Together","Action, Casual, Indie, Sport","Casual, Sport, Action, Indie, Rythme"
Cryptocratie,"Bienvenue dans les coulisses ! La cryptocratie est un jeu qui peut vous faire vous asseoir et prendre note de la façon dont notre société moderne est organisée et qui le dirige vraiment. Si vous n'avez aucun problème avec l'imagination, le jeu peut vous montrer qui est derrière le rideau... Bien sûr, vous aurez besoin d'aide pour tout comprendre, donc voici un ancien zillionaire et courtier en puissance, qui a été bien installé par ses collègues. Ensemble, vous allez manipuler les gens et attendre avec impatience des tonnes d'argent et d'influence! Un gameplay est basé sur 2 différentes mécaniques de match classiques - l'une dont vous avez besoin pour gagner du pouvoir et de l'argent, l'autre est de confronter les manifestants (personne n'a dit que gouverner le monde est facile). Caractéristiques : - le twist unique sur le puzzle Match-3 - 20 personnages animés cool - le mode d'histoire en plein cerveau - le mode sans fin pour rivaliser avec d'autres joueurs - la personnalisation du héros Pour l'instant, vous avez 6 villes - pour obtenir chacune, au début, vous devez prendre le contrôle des ressources et ensuite gérer avec des gens mécontents. Dans un avenir proche, nous prévoyons de faire plus de niveaux avec de nouveaux héros! Après-midi Cryptocratie - une forme de gouvernement, où les vrais dirigeants sont cachés, ou simplement inconnus...",Joueur unique,"Casual, indie, stratégie","Casual, indie, stratégie"
Fin de ligne,"Avertissement : Contient des effets lumineux clignotants. Ce jeu peut ne pas convenir aux personnes sujettes à l'épilepsie photosensible. S'engager dans des visuels de néons accrocheurs pendant que vous plongez dans des vagues d'ennemis et d'innombrables balles. Sélectionnez le vaisseau qui convient à votre style de jeu, laissez le rythme guider votre arme et survivre. 6 bateaux jouables, chacun avec son style de jeu unique. 14 étapes de rencontres dédiées, de visuels et de musique. Acquérir de l'expérience pour améliorer votre vaisseau avec de meilleures armes et capacités. Contrôles entièrement personnalisables pour clavier et contrôleur. Contrôles par défaut : Mouvement : Flèches , WASD Accepter : Enter , Espace , E Annuler : Backspace , Q Pause : Esc , Tab Reset Stage : R (Hold) Feu : Espace (Hold) Slow Down : Maj (Hold) Pouvoir : Ctrl Toggle Auto-Fire : Alt","Single-player,Steam Achievements, Contrôleur partiel Support,Steam Cloud","Action, indie","Bullet Hell, Shoot 'Em Up, Action, Top-Down Shooter, Shooter,Arcade,2,5D,Top-Down,Nonlinéaire,Colorful,Minimaliste,Indie,Stylisé,Famille Friendly,Attaque de score,Psychedelic,Singleplayer"
Papier X,"XWallpaper est un drôle et puissant moteur de papier peint en direct qui affiche des animations étonnantes et des effets sur votre fond d'écran avec un faible usage CPU. Il apporte vie à votre papier peint statique avec un concepteur visuel puissant en un clic. Caractéristiques Apporte vie à votre papier peint statique avec build-in Visual Live Wallpaper Designer, interface utilisateur propre et facile à utiliser Des centaines d'effets de particules flottantes(200+)/filters(20+) et effets de piste de souris(200+),des effets de clic de souris(200+) à choisir. Beaucoup d'options d'édition - vous pouvez changer presque tous les effets dans le papier peint en direct. Mode Pause - Vous pouvez activer le mode pause lorsque vous avez besoin de 100% de puissance pour vos autres jeux. Support Taskbar transparent Support Multi-Monitors Support Steam Workshop Optimisation - réduction des besoins en équipement, faible utilisation du processeur. Code optimisé créé pour les appareils bas de gamme. Note Non compatible avec le moteur de papier peint. On ne peut pas utiliser en même temps. QU'EST-CE QUE LES CURATEURS DOIVENT VENIR? Il s'agit d'un groupe d'experts sur les questions relatives à l'environnement. Il n'y a pas de différence entre les deux. (Traduit par la Rédaction) Un moteur intéressant pour jouer des fonds d'écran animés. Il absorbe peu de ressources informatiques. Hookups: Un petit logiciel amusant qui transformera votre papier peint de bureau en quelque chose qui se sent plus vivant! Beaucoup d'options dans ce logiciel! Grand prix pas cher pour quelque chose de si agréable! - 5 minutes de jeu: 'XWallpaper - -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- (Traduit par: 'XWallpaper est un amusant et puissant moteur de papier peint en direct qui affiche des animations étonnantes et des effets sur votre fond d'écran CPU bas.) Moteurs (En milliers de dollars des États-Unis) Moteur, papier de fond, papier de fond, Fond d'écran Moteur, , , , ""Travail"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" Liste noire_: , , , ","Steam Workshop,Steam Cloud,comprend l'éditeur de niveau","Animation & Modélisation, Conception & Illustration, Services publics","Utilitaires, Conception et Illustration, Animation et Modélisation"
Laboratoire secret,"Laboratoire secret Dans un laboratoire secret, des expériences ont été menées sur des personnes. Quelque chose s'est mal passé... Les sujets ont échappé au labo et ont commencé à tuer tout le monde. C'est votre mission de mettre fin à l'expérience tout en combattant les hordes de monstres. Secret Laboratory est un tireur avec plusieurs options. Vous pouvez jouer première personne ou troisième personne, d'une manière très rapide et facile à changer. Il y a beaucoup d'armes autour du laboratoire, y compris des pistolets, des fusils et même une épée et un bouclier. Vous devez rapidement trouver votre équipement et survivre à des vagues infinies d'ennemis. CARACTÉRISTIQUES : - Beau graphisme réaliste. - De nombreux types d'armes. - Multiple gameplay: première ou troisième personne. - Bulletin du temps",Joueur unique,"Action, Casual, Indie","Action,Inde,Casual,Horror,Zombies,Shooter,Minimaliste, Atmosphérique,Simplejoueur,Arcade"
Tropico 3,"S'engager dans un voyage de puissance tropicale! Devenez le dictateur d'une île éloignée pendant la guerre froide. Charmez-vous, persuadez, intimidez, opprimez ou trompez votre peuple pour rester au pouvoir ! Êtes-vous un chef gentil et généreux ? Un tyran corrompu et impitoyable avec un poing de fer ? Transformez votre île en paradis touristique ou en puissance industrielle. Faire des promesses à l'électorat ou calomnier les adversaires politiques pour obtenir les votes cruciaux pour les prochaines élections. Envoyez votre avatar pour féliciter les gens, visitez l'île d'un autre joueur, ou tout simplement un bain de soleil sur la plage des Caraïbes. Jouez les superpuissances de la guerre froide les uns contre les autres à votre avantage maximum. Tropico 3 offre une prise en main franche et légère sur les questions du monde réel comme la politique du tiers monde, la corruption et les régimes totalitaires. Une campagne composée de 15 missions Générateur de cartes aléatoire Éditeur de chronologie L'Avatar — personnalisable et sous le contrôle du joueur Discours électoraux Simulation de la vie, de la famille et des vues politiques de chaque Tropican Véhicules et routes Nouveaux bâtiments et nouvelles unités",Joueur unique,"Simulation, stratégie","Simulation,Stratégie,City Builder,Management,Politique,Sandbox,Singleplayer,Economie,Satire,Comedy,Funny,Great Soundtrack,Cold War,Politic Sim, Atmospheric,Multiplayer,Open World,Classic"
Rapprochement,"Raptainment vous met dans le monde du rap dur plein de paroles dures, des fans criant, le luxe et la vie de tour. Planifiez votre rappeur pour le prochain album, mais gardez toujours les compétences à l'esprit, ne vous attendez pas beaucoup au début, un flop resterait longtemps dans la mémoire des fans. Élever les compétences de votre rappeur pour enregistrer des albums plus sophistiqués et de haute qualité à l'avenir dans lequel l'exécution vous voulez libérer le produit et garder un oeil sur la publicité. N'oubliez pas de donner des interviews, de garder les médias sociaux à l'esprit et d'avoir une bonne connexion avec les fans. Après une sortie réussie, la vie de la tournée vous attend. Planifiez une petite ou grande tournée et présentez les oeuvres les plus récentes au public. Maîtriser le degré étroit entre l'équipement de la tournée et les revenus possibles pour faire l'entreprise ne pas à une perte. Prenez soin que votre artiste voyage et planifiez chaque performance avec soin pour rendre chaque spectacle aussi grand que possible. Caractéristiques: - Simulation détaillée autour de l'entreprise de rap - Système de compétences complet dont les valeurs augmentent et tombent au fil du temps. - Système d'enregistrement complexe avec de nombreuses options de sélection - Calculs détaillés pour une expérience de jeu dynamique - Sorties dans différents modèles de vente avec un système de calcul détaillé - Système de promotion étendu par la publicité, les interviews et les médias sociaux - Système de tournée détaillé incl. planification de chaque performance - Game musique de producteurs talentueux qui ont produit pour certaines stars de rap allemands célèbres. - Et beaucoup plus. Raptainment a été optimisé pour la résolution d'écran 1980x1020 Licence: Pour Raptainment quelques artistes de rap bien connus d'Allemagne ont été autorisés. La musique licenciait 4 beats exclusifs du producteur 3Nity beats. En outre, le jeu comprend des beats exclusifs de nouveaux venus producteurs. Les acheteurs de Raptainment peuvent utiliser les beats exclusivement pour des projets non commerciaux.",Joueur unique,"Violent,Gore,Casual,Indie,RPG,Simulation,Accès rapide","RPG,Inde,Accès rapide,Casual,Simulation,Gore,Violent"
Incendie,"Dashing Fire est un voyou rapide et stimulant ! Chaque zone est générée au hasard, remplie au bord de petites planètes uniques criblées de créatures juteuses de toutes formes et tailles! Vous devez DASH entre ces petits mondes, plonger dans des flammes brûlantes et sauter votre chemin vers le haut à travers des monstres et des nuages, des trésors et des cendres! Maîtriser la mécanique plutôt que les niveaux, puisque ces changements avec chaque nouvelle playthrough, fournir une nouvelle aventure à chaque fois. Plus de 10+ boss stimulants, 40+ créatures uniques et squishy, 10+ pouvoirs pour mettre à niveau votre héros enflammé, et 5 zones radicalement différentes. Découvrez et apprenez tout ce que vous pouvez sur cet univers afin que vous puissiez lui apporter l'équilibre. Il a été conçu comme une expérience de jeu. Avec un gameplay minimaliste et engageant - vous pouvez sauter dans juste quelques minutes, ou vous immerger pendant des heures que vous essayez de battre les nombreux défis de votre voyage. Profitez de bandes sonores épiques, colorées et rythmées par Dave Allen pendant que vous essayez de devenir le prochain Soleil. Le monde entier de Dashing Fire, de l'art et de l'histoire au gameplay a été créé par Noa Calice, le créateur de Blackthornprod, une chaîne Youtube de développement populaire !","Un seul joueur,Steam Achievements","Action, indie","Indie,Colorful,Rogue-like,Action,Action Roguelike,Fast-Paced,Rogue-lite,2D,Difficile,Replay Value,Adventure,Arcade,Cartoony,Cute,Minimalist,Stylized,Fantasy,Perma Death,Procedure Generation,Tutorial"
Chasse illimitée 3,"En ce qui concerne la chasse, il n'y a rien de plus réel! Voyagez à travers les États-Unis, le Canada et la Zambie pour fermer vos yeux sur la proie d'une vie. Des missions uniques et pleines d'action feront fonctionner votre carrière et votre cœur pompera. Suivre la carrière de votre choix: Deer à queue blanche, Mule Deer, Pronghorn, Buffalo, Elk, Grizzly, Moose, Mountain Goat, Mountain Lion et Wild Boar. Parcourez le terrain accidenté à pied, à cheval et à VTT pour chercher et ramener à la maison ce trophée précieux. Explorez les paysages accidentés de l'Alberta, du Canada, de l'Arizona, du Maine, de l'Oregon et du Tennessee. Prenez la chasse au rude paysage zambien pour retrouver Lions, Elephants et Kudu. Parfaitez votre tir au champ de tir avant la grande chasse. Suivez votre carrière dans plus de 50 défis de mission en action ou errez dans le paysage en mode Chasse libre. Découvrez votre tir parfait de la vue d'une balle avec la Bulletcam améliorée. Choisissez les outils parfaits pour chacune de vos chasses, en choisissant parmi plus de 30 armes et accessoires. Concevez votre chasse ultime en utilisant Hunting Illimité 3 , dans le jeu Mission Editor, puis échangez avec vos amis de chasse par courriel.",Joueur unique,"Action, Casual, Simulation, Sport","Simulation,Sports,Action,Hunting,Éditeur de niveau,3D,Première personne,Troisième personne,Casual,Gestion d'inventaire,Simplejoueur"
Héros Viking 2,"Il n'y a pas de héros plus puissants que les Vikings et aucun ennemi plus féroce ! C'est une bonne nouvelle pour les habitants assiégés de Midgard et des royaumes environnants, qui ont besoin d'un groupe de champions pour venir à leur aide après qu'un volcan de longue date se réveille et jette son contenu rouge-chaud à travers la terre. Et c'est une mauvaise nouvelle pour la force noire et destructrice qui a réveillé la montagne en sommeil. Rejoignez les frères et sœurs Vikings dans un voyage épique à travers une terre magique alors qu'ils viennent au secours des sans défense et cherchent celui qui répand la destruction. Joignez-vous à de vieux amis (dont le Loki fiable) pour reconstruire des villages brisés, résoudre un mystère perplexe et des quêtes simples complètes pour une multitude de personnages colorés. Votre voyage vous placera aux pieds de dinosaures féroces, vous emmènera dans le monde éblouissant des rêves et vous mettra au défi de planifier en amasseant des ressources et de la course pour battre l'horloge! Les enjeux sont plus élevés, les récompenses sont plus grandes et le gameplay est plus amusant que jamais ! Téléchargez et jouez le Sequel de l'année aujourd'hui! CARACTÉRISTIQUES DU JEU 50 niveaux super-fun à battre Bonus chapitre (+15 niveaux) Bande son téléchargeable fonds d'écran Dazzling hiboux collectables Modes de jeu facile, normal et dur Des dizaines de réalisations pour gagner Learn-as-You-play Tutoriel Simple point-and-clic gameplay Guide de jeu étape par étape","Un seul joueur, Succès d'équipe, Nuage de vapeur","Aventure, Casual, Indie, Stratégie","Casual,Time Management,Tutorial,Cute,Dinosaures,Colorful,Famille Friendly,Magic,Strategy,Indie,Fantasy,Adventure,Resource Management,Simpleplayer"
Incroyable Dracula 4: Jeux de Dieu,"Outsmart a God in a palpitant showdown of writs et profitez de beaucoup de rires en chemin! Dracula a été sur sa part d'aventures à travers les siècles mais rien de tel que la quête du dieu trompeur Loki a jeté son chemin. Empreint de larmes un jour, Loki décide de piéger une paire d'immortels pour jouer à un nouveau jeu. En spotant Dracula et son minion zombie, Rufus, il trompe l'éternel fanged on en roulant une paire de dés magiques pour une chance de gagner un prix incroyable. Avec un seul coup des os, Dracula et son serviteur sont transportés dans le jeu de Loki! Pour revenir à leur ancienne vie non morte, ils devront battre chaque niveau et surmonter les plans rusés de Loki. L'évasion ne sera pas facile, mais c'est possible. Gérez bien votre temps et vos ressources, construisez des tours pour défendre vos aidants, effectuez des missions pour des personnages hors-la-loi et utilisez des bonus à votre avantage en courant contre l'horloge pour saisir la pièce de Loki et le téléport au niveau suivant ! Doté de superbes visuels morts-drop, une histoire qui vous gardera dans les points de suture et assez de matériaux bonus pour remplir un bon morceau d'éternité, incroyable Dracula 4: Game of Gods vous emmènera sur un voyage que vous n'oublierez jamais! Caractéristiques clés: • Des dizaines de niveaux captivants • Un mode facile pour les nouveaux joueurs • Oeuvres et musique téléchargeables • Un parcours détaillé de chaque niveau • Un tutoriel étape par étape","Un seul joueur,Steam Cloud","Aventure, Casual, Indie","Casual,Inde,Adventure,Gestion du temps,Simplejoueur,Stratégie,Addictive"
SCUM,"Le monde entier a un besoin inextricable de divertissement s'est tourné vers l'effusion de sang car le spectacle behemoth TEC1 est prévu pour la première saison deux de sa sensation de télévision SCUM. Cette nouvelle saison déplace le concours des arènes intérieures robustes et fermées vers les forêts luxuriantes, les champs roulants et les terrains accidentés de la propre île SCUM privée de TEC1. Tant les fans favoris que les nouveaux prisonniers s'affronteront dans une guerre impitoyable de survie tout en luttant pour le soutien des téléspectateurs, des producteurs et des sponsors pour la gloire, les cadeaux et une chance de vie après la mort. SCUM vise à faire évoluer le jeu de survie multijoueur avec des niveaux sans précédent de personnalisation, de contrôle et de progression de caractère, où les connaissances et les compétences sont les armes ultimes pour la survie à long terme. Combinant la planification méthodique et la gestion de la survie hardcore avec les événements optionnels de réseau PvP, le SCUM établit un équilibre unique entre simulation complexe et action intense dans la prochaine génération de jeu de survie. SCUM est construit avec Unreal Engine 4 et va s'étendre tout au long de la période d'accès précoce. Les fans peuvent suivre les détails sur le développement avec des mises à jour dev hebdomadaires sur scumgame.com et sur Twitter @SCUMgame. CARACTÉRISTIQUES [ALPHA] Simulation complexe : SCUM utilise des dizaines de systèmes complexes pour permettre aux joueurs d'aller aussi profondément qu'ils choisissent dans la gestion de leur caractère. Les joueurs peuvent plonger dans la minutie de l'expérience de survie à travers des systèmes contrôlant leur métabolisme de caractère, l'inertie pendant le mouvement, et même la rapidité des couches de vêtements sécher sur et hors du corps. Le diable est dans les détails... Paysage massif : Traversez et explorez 225 km2 de terrain comprenant des forêts denses, des plages pittoresques, des champs sereins, des villes abandonnées et des aérodromes à éclaboussures. Chaque endroit qui raconte son histoire est rempli de faune et de dangers. Le terrain massif peut être traversé par des véhicules terrestres, des bateaux ou des aéronefs. PvP Network Events: Entrez TEC1=s en cours d'événements réseau avec un clic d'un bouton et soyez fouetté vers les zones fermées de l'île pour le gameplay PvP blanc. Volontaire pour un événement et être mis contre d'autres prisonniers avec des points de gloire et un butin de grande valeur sur la ligne pour ceux qui survivent. Élargir le jeu : Alors que la version actuelle du SCUM comprend déjà des systèmes de base d'artisanat, de combat et de personnalisation, les caractéristiques et le gameplay s'étendront continuellement pour inclure des mécaniques plus avancées, plus de variété dans le gameplay, et une métanarrative pour les joueurs de terminer des missions avec l'espoir d'un jour de quitter l'île... Multijoueur en ligne : Survivez avec jusqu'à 64 joueurs par serveur avec l'option de louer votre propre serveur à partir du menu en jeu. CARACTÉRISTIQUES DE LA ROUTE D'ACCÈS COURANTE Les fonctionnalités suivantes sont disponibles dans le jeu comme il est disponible maintenant. Veuillez continuer à vérifier cette zone et les forums Steam pour les mises à jour des fonctionnalités et des ajouts pendant la période d'accès anticipé. Multijoueur & Single Player Support Network Events [Deathmatch, Team Deathmatch, Cargo Assault] PNC [Drones, Sentry Robots, Marionnettes, Traders] Animaux domestiques et sauvages Simulation avancée temps et jour/temps Plusieurs types d'environnements de la montagne enneigée, à travers les bois verts aux côtes ensoleillées. Système d'inventaire du système de métabolisme réaliste avancé En profondeur Personnalisation des caractères RPG Personnalisation des caractères visuels de base [Tattoos] Système de nivellement des caractères [Points d'expérience] Système d'artisanat de base [Basé sur les compétences] Système de mouvement de base + système de combat de base de la faille [armes non armées, armes à feu, armes à feu] arsenal d'armes diversifié avec système d'entretien d'armes spécifique. Système avancé de pêche Système d'économie de pointe Système d'escouade Système d'abri de base Chat vocal Véhicules fonctionnels sur terre, mer et air Combat véhiculaire Fortifications et bâtiment de base Archère avancé Nombreux et divers POI, des grandes villes aux petites usines. Zones sûres avec avant-poste CARACTÉRISTIQUES PRÉVUES À LA VERSION 1,0 Les caractéristiques suivantes ne sont pas encore dans SCUM et sont prévues dans le cadre de la période d'accès anticipé. Le calendrier et la profondeur de ces caractéristiques sont sujets à des changements fondés sur la rétroaction communautaire et les réalités du développement. Jeu métanarratif [Missions primaires / secondaires, quêtes latérales, contenu final du jeu] Personnalisation visuelle avancée du caractère Système de combat avancé [Arts martiaux + Amélioration du contrôle des armes et du mouvement] Tous les niveaux de compétences et compétences souples Entièrement mis en œuvre Système avancé d'expérience d'artisanat Système avancé de rébellion PNC et d'IA animale Ensembles supplémentaires de PNC et de faune Mécanique d'équipe avancée Autres événements Réseau Advanced Fame Point Système supplémentaire d'armes et d'équipement En cours Optimisation","Single-player,Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Steam Succès,Steam Trading Cards,Stats","Action,Adventure,Indie,Massivement multijoueur,Accès rapide","Survie,Open World Survival Craft,Multijoueur,Open World,Zombies,Multijoueur,Action,Accès rapide,Adventure,Réaliste,Craft,Nudité,Simplejoueur,FPS,Violent,PvP,Troisième Personne,Gore,Inde,RPG"
Aaero,"Vitesse à travers des environnements stylisés étonnants traçant des rubans de lumière, libérant l'énergie de la musique. Combattez des ennemis étranges et combattez des batailles épiques de patrons toutes animées par une incroyable bande son sous licence. Le micro-studio indépendant ‘Mad Fellows' vous apporte un jeu unique et innovant avec de la musique de Noisia, Flux Pavilion, Katy B, The Prototypes, Neosignal et bien d'autres encore. N.B. Un contrôleur avec deux bâtons analogiques est nécessaire pour jouer à Aaero. (par exemple Xbox 360/One, PlayStation DualShock etc.)","Single-player,Steam Succès,Support de contrôleur complet,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play sur TV","Action, indie","Indie,Action,Musique,Rhythme,Great Soundtrack,Controller,On-Rails Shooter,Singleplayer"
Chien tueur,"Killer Dog est un plate-forme d'action avec de beaux graphiques pixel-art. Hector est un chien ordinaire qui veut juste rentrer à la maison, mais les choses continuent à mal tourner. Aidez-le à surmonter toutes les difficultés et à sauver ses amis! Explorez un certain nombre de niveaux, en trouvant des secrets et en recueillant des trésors! Combattez divers ennemis: de quelques voyous simples à des créatures sauvages de l'enfer et des extraterrestres rusé! Évitez les pièges difficiles ! Trouvez de délicieux aliments sur les plateformes, qui vous aideront à récupérer la santé perdue. Dépensez les points que vous avez recueillis pour acheter des améliorations, qui amélioreront grandement les compétences de votre chien. Même un bon chien ne peut pas se battre sans amis! Dans certains niveaux, d'autres personnages vous aideront dans votre mission. A la fin de chaque chapitre, un patron dur vous attend. Le vaincre exigera de la compétence et des tactiques élaborées.","Un seul joueur, prise en charge complète du contrôleur","Action, indie","Action,2D Platformer,Arcade,Pixel Graphics,Platformer,Dog,Demons,Robots,Aliens,Dark,Magic,Old School,Destruction,Dark Humor,Score Attack,Combat,PvE,2D,Singleplayer,Side Scroller"
Tableau de bord Rois : Simulator de la boutique de cartes,"Ouvre la tienne Boutique de cartes au bord de la mer ! Acheter, échanger et vendre des cartes, OU les garder pour votre propre collection! Gagnez de la réputation auprès des clients, battez vos objectifs de magasin, déverrouillez de nouvelles décorations et organisez des événements passionnants pour amener tout le monde au meilleur magasin de cartes de la ville! Vous êtes Harry Hsu, un jeune homme qui a récemment hérité d'une boutique de cartes de son père, un ancien champion du célèbre jeu de cartes ""Warlock"". Avec la réputation de la boutique sur la ligne, vous commencez à travailler derrière le comptoir, jonglant les demandes des locaux tout en essayant de vous familiariser avec la possession d'un magasin. Votre guide, Giuseppe, un Cockatoo qui parle rapidement, vous aide dans votre voyage d'achat et de vente - sécuriser des cartes de diverses raretés pour les meilleurs collectionneurs ou aider un client enthousiaste du quartier.","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Casual, Indie, Simulation, Stratégie","Funny,2D,Capitalisme,Trading,Gestion des ressources,Economie,Gestion,Noveau visuel,Stratégie,Gestion des stocks,Gestion du temps,Simulation,Conversation,Sim immersif,Collectathon,LGBTQ+,Story Rich,Cartoon,Casual,Singleplayer"
