Nom,Description,Categories,Genres,Mots-cles
Morok,"Morok est un roman visuel à caractère nordique. Imaginez ceci : vous vous êtes réveillé dans un marécage. Les Gnats grouillent autour de toi. Une vieille femme flippante vous invite à sa cabane. L'intrigue du jeu nous emmène dans un petit village russe. Tout le monde te connaît, mais tu ne reconnais personne. Le joueur se mettra sur le chemin pour comprendre exactement ce qui s'est passé dans cet endroit et qui ils sont vraiment.",Joueur unique,"Aventure, Casual, Gratuit à jouer, Indie","Gratuit pour jouer,Inde,Casual,Adventure,Visual Novel,Hand-tired, Atmospheric,Surreal,Story Rich,Great Soundtrack,Dark,Beautiful"
Un jeu minier,"Un jeu inactif de simulation minière, Combattre d'autres mineurs pour atteindre le sommet du classement, Construire une armée. Montez dans la tour de combat avec des amis. Et concurrencer dans les événements quotidiens","Multi-joueur,PvP,PvP en ligne,Stats,Steam Leaderboards","Gratuit à jouer, indie, simulation, accès précoce","Gratuit pour jouer,Inde,Simulation,Accès rapide,Cliquer,Mining"
Une maison de voleurs,"A House of Thieves est un jeu de comédie furtive basé sur le niveau à propos d'un voleur qui ne va pas faire du shopping mais prend plutôt sa liste de magasins et se casse dans des maisons aléatoires pour obtenir ses affaires. Imaginez que vous voulez cuisiner des pâtes, mais vous n'avez plus de sauce tomate. Vous n'êtes pas non plus le genre de personne qui va dans un supermarché et paie pour leurs courses. Que faites-vous ? C'est exact ! Entrez chez votre voisin et travaillez à travers votre liste d'achats ! Version PC (souris et clavier) du populaire jeu indépendant VR Il y a un voleur dans ma maison. Excellente rejouabilité Chaque élément de votre liste est choisi au hasard Les éléments changent d'emplacement chaque fois que vous répétez un niveau AI marche au hasard autour de la maison - il n'y a aucun système derrière les mouvements des gadgets AI Unlockable Plus vite vous terminez un niveau, plus vous obtenez d'étoiles Atteindre certains nombres d'étoiles pour débloquer gadgets Multijoueur Jusqu'à 4 joueurs contre une AI ou 3 joueurs contre un autre joueur Jouer comme propriétaire et placer des pièges pour arrêter vos adversaires Accessibilité Activer les sous-titres (pour les sourds / malentendants) Localisé Jeu complet: Anglais, Allemand, Français, Espagnol, Chinois simplifié, Turc, Portugais du Brésil Partie du jeu (liste unique): Russe, Coréen","Single-player,Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Steam Succès,Support de contrôleur complet,Steam Cloud","Action, Casual, Indie, Stratégie","Casual,Stealth,Strategy,Heist,Cartoony,Puzzle,Horror,Stylized,Cartoon,3D,First-Person,Action-Aventure,Comedy,Loot,Psychological Horror,Tactique,PvP,PvE,Funny,Action"
Crunker,"Tirez sur votre chemin à travers 12 cartes de rotation pour gagner des récompenses. Maîtrisez le système de mouvement hautement axé sur les compétences unique à Krunker. Si déposer des Nukes et des gens de la localisation rapide dans les pubs n'est pas votre truc, Krunker offre également des milliers de jeux personnalisés à choisir. Infecté, Parkour, Gratuit pour tous, Capturez le drapeau et bien plus encore. Avec les outils robustes de modding et de cartographie de Krunker - il n'y a aucune limite à ce que vous pouvez créer et expérience. Krunker dispose également d'une économie vibrante avec des milliers de peaux et d'articles à débloquer, vendre et commercer. Serveurs dédiés sur chaque Continent & un navigateur serveur facile à utiliser. Vous pouvez héberger votre propre serveur personnalisé en 2 clics !","Multi-joueur,PvP,PvP en ligne,Co-op,Co-op en ligne,Cross-Platform Multi-joueur, Contrôleur partiel Support, comprend l'éditeur de niveau","Action, Casual, Gratuit à jouer","Action,FPS,Casual,e-sports,Arcade,3D,Shoot 'Em Up,Parkour,Voxel,Modern,Free to Play,Class-Based,Caracter Customization,Level Editor,Moddable,PvP,Multijoueur,Team-Based,Trading,Co-op"
Mort croisée VR,"Cross Death est un jeu de tir de survie VR pour le HTC Vive. Cette expérience sera plus intéressante et passionnante que la plupart des jeux. En tant que figure influente, vous trouvez que vous êtes laissé dans un château après une attaque, avec le bruit de mâcher le cadavre de créatures inconnues retentissant. Teeter sur le bord de l'obscurité, vous devrez utiliser les armes et les outils fournis pour survivre et vous défendre contre des ennemis assez proches pour attaquer. Bien sûr, il n'y a qu'un plateau de vaisselle, les armes ne peuvent que vous entraîner loin de la mort, et le bon moyen de traverser la mort est d'exercer votre sagesse. Dans les coins sombres, ou derrière les barrières rouillées, même un égout exsudant la puanteur, il y a des secrets de traverser la mort qui vous a attiré. En outre, les brouillons des prédécesseurs peuvent vous donner un peu plus d'aide et de diriger la voie à suivre. Cependant, lorsque vous êtes occupé à chercher des indices, n'ignorez pas le danger qui approche de derrière. Luttez dans le château mystérieux, et découvrez celui qui a causé tout cela. Bonne chance ! Conseils : Contrôleur de gauche Trackpad Up &Down:Teleport Contrôleur gauche Menu Bouton:Graphics Définir le contrôleur gauche Trackpad Trigger: Prise en charge ,Ouvrir la porte Contrôleur droit Menu Bouton:Switch Language Contrôleur droit Déclencheur de piste: Tirer de haute qualité par défaut. GTX 980 , GTX 980 ti , GTX 1070 , GTX 1080 peuvent utiliser de haute qualité ; GTX 970 peut utiliser de basse qualité.","Single-player,Steam Succès,Stats,Steam Leaderboards","Action, Aventure, Indie, Stratégie","Action, Aventure, Indie,Stratégie,VR"
L'aventure du requin de Zango,"Le Shark Adventure de Zango - est un jeu de plateforme d'aventure d'action & qui se rapporte à une histoire d'un singe nommé Zango - qui sort contre toute attente pour sauver sa famille. Le jeu a 4 Chapitres avec 32 niveaux uniques avec des tonnes d'aventure et de plaisir!! Caractéristiques du jeu: 1. Jeu unique comme aucun autre!! 2. 4 Chapitres avec 32 niveaux uniques, y compris les niveaux Boss, poursuite, survie et plate-forme!! 3. Beaucoup de la capacité de Zango de l'aider à compléter les niveaux: Natation, Ennemis/Items de cible automatique, Double Jump, Escalade, Effet lent, Gel d'une plate-forme, Dash sur les portails et bien plus encore!! 4. Jouez avec le Sidekick de Zango - Thunder the Parrot - pour l'aider à passer aux points de contrôle!! 5. Avec le support de clavier ou de joystick. Comprend également le soutien pour personnaliser Boutons de joystick. Version 1.0.6: Corrections: 1. Correction d'un bug pour perroquet au niveau Tutoriel en mode Insane 2. Correction d'un bug de notation au niveau Boss Modifications : 1. Changement d'un graphique de pierre au niveau du tutoriel 2. Ajout d'un indice au niveau du tutoriel","Un seul joueur, contrôleur partiel Appui","Action, Aventure, Casual, Indie, Stratégie","2D Platformer,Runner,Casual,Sailing,Platformer,Action-Adventure,2D,Stratégie,Cute,Sous-eau,Neige,Relaxing,Action,Anime,Cartoony,Colorful,Fantasy,Stealth,Thriller,Famille Friendly"
Roi en colère,"Vous êtes un bon archer ? Il est temps de le montrer ! Vous serez seul et essayez de survivre aussi longtemps que possible. Ceux qui aiment les jeux de tir à l'arc peuvent penser que c'est un jeu simple, mais le plus dur jeu de tir à l'arc jamais fait. Caractéristiques clés : Guerre sans fin. Obstacles intéressants et mécanique de jeu Graphiques simples Facile à apprendre, il suffit d'utiliser sur le clavier. Mouvement d'attaque (espace) ( W A S D )",Joueur unique,"Action, Casual, Indie","Indie, Action, Casual"
Enveloppez-le !,"Contrôler les organes génitaux masculins à travers les obstacles, en évitant les MST. Assurez-vous de prendre des préservatifs pour procéder en toute sécurité et utilisez le Viagra pour garder votre endurance. Avez-vous ce qu'il faut pour battre votre score élevé ou même celui de votre ami ?",Joueur unique,"Casual, Indie","Indie,Casual,Sexual Content,Runner,Arcade,Funny"
Puerto Viejo,"Puerto Viejo est une histoire délicieuse pendant l'âge d'or espagnol. Vous jouez comme Miguel, un jeune garçon en quête de suivre les pas de son père. Explorez la ville et ses environs tout en rencontrant un casting coloré de personnages en chemin! Le jeu est une compilation 2D, joueur unique de mini-jeux. Une histoire linéaire est racontée par des dialogues de personnages – vous devez compléter plusieurs mini-jeux assortis pour le déployer. Chaque mini jeu a 3 niveaux à compléter, est court et unique et va défier votre timing et vos réflexes. -L'achèvement de l'histoire déverrouillera un nouveau mode appelé mode ""Sailor"" qui vous permettra de rejouer n'importe quel mini-jeux à travers un écran de sélection. Chaque jeu aura 4 niveaux à compléter. - Vous cherchez d'autres défis ? Une fois le mode Story et Sailor terminé, vous serez en mesure d'obtenir une récompense et de débloquer une version étendue de l'histoire appelée Mode Hat avec 5 niveaux à compléter dans chaque mini jeu.","Un seul joueur, Succès d'équipe, Nuage de vapeur","Aventure, Casual, Indie","Adventure,Casual,Minigames,Indie,Hand-drawed,Colorful,2D,Stylized,Visual Novel,Narration,Story Rich,Singleplayer,Linear,Narrative,Action-Adventure,2D Platformer,CRPG"
Chaos et le robot blanc,[aucune description],"Un seul joueur, contrôleur partiel Appui","Action, Casual, Indie","Action, Indie, Casual, Tiré à la main"
Roues de choc,Crash Wheels - course d'arcade avec la physique des dommages. Le but - atteindre la ligne d'arrivée. ▪ 32 pistes ▪ Niveau d ' essai de choc,"Un seul joueur, Trading par équipe Cartes, Support du contrôleur partiel","Indie, Racing","Course,Inde,Destruction,Arcade,Simplejoueur,Fast-Paced,Difficile,Multijoueur"
Ultime Force de défense du mur,"Ultimate Wall Defense Force est un jeu d'action monojoueur fait pour VR. Entrez dans un fantasme super-héros inspiré par des combats d'anime scandaleux. Vous devez garder Le Mur protégeant l'humanité en donnant des pouvoirs du dernier Blaster. Avec les capacités ultimes dans les paumes de vos mains, volez à travers la ville pour éliminer une assaut de géodites ennemies et de géobosses géantes, laissant la destruction dans votre sillage. Batailles épiques Avec des pouvoirs inspirés par des icônes d'anime, défiez-vous de tuer les ennemis aussi vite que vous le pouvez et abattre les patrons galactiques pour défendre le Mur. Jouer dans immersive VR. Volez haut à travers l'horizon, tisser entre les bâtiments, écumer les rues et monter dans les nuages. Capacités ultra puissantes Des ennemis à un pouce, tirer sur un éventail de faisceaux de doigts, démanteler une épée laser, exploser d'énormes bombes énergétiques, et bien plus encore. Activer le mode Super ! Recueillir des orbes brûlantes pour libérer votre forme ultime et augmenter vos capacités à des proportions épiques. Environnement destructible Interagissez avec le paysage urbain désert autour de vous. Ramassez et lancez des poteaux lumineux, allumez des feux de voiture, et démolissez des gratte-ciels en décombres. Découvrez les objets de collection personnalisables Trouvez un arc-en-ciel d'orbes de puissance cachée pour changer vos capacités à la couleur de votre choix. Choisissez votre bande sonore de combat. Des cassettes pour changer votre musique. Rechercher des cassettes dispersées dans toute la ville. Nous voulons vos commentaires! Dites-nous ce que vous aimez dans le jeu et ce que vous voulez voir à l'avenir sur notre Discord . Vous pouvez également suivre Ultimate Wall Defense force sur twitter et facebook .","Un seul joueur, prise en charge complète du contrôleur","Action, indie","VR,Action,Tower Defense,Shooter,Anime,Flight,Indie,FPS,Shoot 'Em Up,Sandbox,PvE,3D,First-Person,FMV,Stylized,Superhero,Combat,Immersive,Destruction,Singleplayer,VR Seulement"
Voix d'hiver,"Une aventure unique, un scénario à découvrir en une saison ! Winter Voices est un jeu de rôle narratif, épisodique et intemporel au début de la révolution industrielle. Les joueurs contrôlent une héroïne de 24 ans alors qu'elle traite de la mort de son père. Elle doit parcourir le cœur de l'hiver et combattre ses pires ennemis – ses propres démons personnels. La première saison de la série Winter Voices est composée de sept épisodes téléchargeables, chacun déroutant de nouveaux éléments du conte du personnage. Winter Voices combine le jeu en temps réel avec un combat strictement défensif basé sur le virage. Alors que le jeu alterne dialogue en temps réel et exploration du monde avec le combat, les joueurs vont vivre une guerre psychique à tour de rôle. Caractéristiques clés : narrative mature et créative, explorant la conscience humaine et plongeant dans une expérience de jeu de rôle évocatrice et effrayante sophistiquée et stimulante : le joueur s'engage dans une défense de l'esprit mécanique, car le personnage est submergé par des souvenirs et se bat contre ses propres démons intérieurs, peurs, voix d'illusion, culpabilité, folie... tactique... avec une torsion : un combat strictement défensif basé sur le tour monde merveilleux et inhabituel : un monde imaginaire et intemporel au début de la révolution industrielle bande sonore dynamique : se tenir au thème de la découverte de soi, mélodies hantantes guident le joueur, créant une humeur sombre et intrigante pour correspondre au personnage. Avalanche Un drame se déroule dans un petit village enterré dans la neige, perdu dans les profondeurs d'une vallée de la Principauté à trois rivières. Une mort soudaine, une maison maintenant hostile, de nouvelles capacités sensorielles s'élevant comme une tempête et le départ vers l'inconnu, le seul moyen de s'échapper en dehors de la mort, est devenu inévitable... L'héroïne nouvellement orpheline est poussée à quitter le village de son père par les voix de son esprit inconscient. Le long voyage pour trouver des réponses vous mènera à travers de nombreux événements pour surmonter la colère, la tristesse, la douleur et la peur et enfin dévoiler ce qui est chuchoté par les voix de l'hiver.","Un seul joueur, Succès d'équipe, Cartes de trading Steam","Aventure, Indie,RPG","RPG,Indie,Adventure,Female Protagoniste, Atmosphérique,Stratégie basée sur le Turn,Story Rich,Psychologique,Basée sur le Turn,Singleplayer,Isometric,Well-Written,Free to Play"
Exocraft,"Situé sur un monde extraterrestre mourant, Exocraft vous place au commandement de votre propre flotte d'exploration spatiale. Concevoir des vaisseaux spatiaux personnalisés, gérer les membres de votre équipage et exercer les pouvoirs élémentaires de votre armée de drones ouvriers pour vaincre les anciens gardiens qui gâchent le paysage. Engagez-vous dans des batailles d'action et utilisez votre stratégie (et un peu de chance) pour conquérir les dépôts de ressources les plus riches dans le monde dynamique. Ou, faites équipe avec des amis pour tester vos compétences dans les modes de gameplay concurrentiels dans le cadre de ce monde ouvert toujours croissant plein de dangers et de richesses indicibles. ESPACES DOUANIERS Laissez votre imagination courir sauvage avec des combinaisons presque illimitées de pièces de navire, de peintures et d'autres personnalisations pour créer votre propre vaisseau spatial unique pour la stratégie, les looks et la domination totale. BATTRE POUR LES RESSOURCES Commandez votre arsenal de drones dans des batailles spatiales épiques contre des gardiens anciens pour des ressources précieuses. Combattez avec d'autres pilotes pour les dépôts les plus précieux de cristaux, de pierres précieuses, de noyaux élémentaires et de pièces de débris spatiaux, ou faites équipe avec eux pour prendre les plus redoutables des adversaires. CROISSEZ VOTRE VIE Un vaisseau minier est génial, mais dans Exocraft vous pouvez concevoir et construire une flotte entière. Gérez chaque vaisseau stellaire des membres d'équipage, contrôlez vos drones élémentaires et élargissez votre empire d'exploitation de l'espace pour devenir le magnat ultime de l'espace. SURVEILLANCE DU PAYS DE L'ALIEN Ce monde extraterrestre est un désert inexorable, et tout le monde ne le fait pas vivre. Alignez vos compétences et votre stratégie en renforçant vos défenses pour survivre et prospérer en tant que flotte ultime d'exploitation minière spatiale. ÉQUIPEMENT AVEC LES FRIENS C'est dangereux d'aller seul dans le vaste désert. Les dangers sont à chaque tour, alors faites équipe avec des amis pour prendre les mines les plus dangereuses et les plus précieuses. Ou, entrez vos meilleurs vaisseaux spatiaux en mode compétition Team Race où vous et d'autres concourez pour le plus de ressources dans une course passionnante contre le temps. JOINDRE UNE SQUAD Construisez une alliance des meilleurs pilotes pour vous défier à de nouveaux sommets dans le cadre de tournois et de classements mensuels. Squad chat vous aide à vous organiser autour de buts communs et de vaincre vos ennemis avec encore plus de précision. MONDE DYNAMIQUE MULTIPLAYER Exocraft est un vrai jeu en ligne massivement multijoueur où votre progression est sauvée et tout le monde partage le même monde massif. Au lieu de diviser le monde entre des serveurs comme la plupart des jeux d'OI, le monde du jeu se développe et se rétrécit pour correspondre aux joueurs en ligne, ce qui signifie que vous pouvez toujours jouer avec tout le monde et rivaliser pour les mêmes ressources dans une expérience de jeu vraiment unique.","Multijoueur,MMO,PvP,PvP en ligne,Co-op,Co-op en ligne,Cross-Platform Multijoueur,Steam Achievements,In-App achats","Action,Casual,Free to Play,Indie,Mauvais joueur,RPG,Simulation, Stratégie","Spaceships,Massivement Multiplayer,Free to Play,Resource Management,Caracter Customization,Building,Mining,Sci-fi,Stratégie,Action,Simulation,MMORPG,Space Sim,2D,Casual,Arcade,Management,Top-Down,Base-Building"
Grand serpent,"Spacieuse Snake est un jeu de puzzle court mais bien conçu où l'objectif est d'occuper tout le plancher du niveau. Mais pour cela, vous devrez résoudre 20 niveaux avec 2 mécaniques différentes. Donc vous pensez pouvoir. Pourquoi acheter Spacious Snake 20 niveaux étonnants Bonne musique Nice pixel art Succès Steam","Un seul joueur,Steam Achievements","Casual, indie, stratégie","Stratégie,Puzzle,Jeux de conseil,Logic,Relaxing,Cute,Linear,Casual,Pixel Graphics,Minimalist,Colorful,Famille Friendly,Retro,Grid-Based Movement,Singleplayer,Indie,Short,Soundtrack,2D"
- C'est pas vrai. L'ancienne RépubliqueTM,"- Oui. The Old RepublicTM est le seul jeu en ligne massivement multijoueur avec une option Free-to-Play qui vous place au centre de votre propre saga STAR WARSTM. Jouer comme un Jedi, un Sith, un Chasseur de Bounty, ou comme l'un des nombreux autres rôles emblématiques STAR WARS et explorer la galaxie loin, loin plus de trois mille ans avant les films classiques. Avec 6 extensions narratives, devenez le héros de votre propre aventure STAR WARS alors que vous choisissez votre chemin vers le côté Lumière ou Noir de la ForceTM. Créez votre héritage. Faites des choix significatifs tout au long de votre voyage et devenez le héros de votre saga personnelle STAR WARS. Le jeu comprend une histoire interactive avec un dialogue cinématographique et une voix off complète pour tous les personnages du jeu. Un monde en croissance attend. Depuis plus de 10 ans, les joueurs peuvent vivre leurs propres histoires de STAR WARS. Avec la plus récente expansion d'Onslaught, STAR WARS: L'Ancienne République continue de fournir du contenu continu par des mises à jour régulières. 8 histoires uniques, 16 styles de combat. Préférez-vous l'élégance d'un sabre de lumière ou la fiabilité d'un bon blaster à vos côtés ? Choisissez parmi l'une des 8 histoires emblématiques et uniques, vous permettant de créer votre propre histoire personnelle STAR WARS. Le Legacy of the Sith Expansion introduit également les styles de combat! Les joueurs peuvent désormais séparer leur Class Story du style de gameplay pour une expérience de personnalisation encore plus grande. Cela libère les options de classe avancée car les personnages peuvent choisir n'importe quelle classe avancée dans le style de jeu Tech ou Force! Jouer comme un Trooper avec un Sniper Rifle, ou un Inquisiteur Sith avec un sabre de lumière dans chaque main, ou même utiliser secrètement les pouvoirs Dark Side tout en se posant comme membre de l'Ordre Jedi. Explorez de nombreuses planètes. Hoth, Tatooine, Alderaan, et plus de 20 autres planètes uniques et dynamiques offrent une exploration passionnante et des aventures passionnantes autour de chaque coin! Jeu multijoueur. Rassemblez vos alliés pour faire face à des rencontres difficiles contre les chefs ennemis dans les points d'éclair et les opérations, ou bataille contre d'autres joueurs dans Player vs. Le joueur Warzones, Arenas ou missions galactiques Starfighter ! Des forteresses galactiques Vous voulez faire une pause dans le voyage intergalactique et l'aventure? Retirez-vous et détendez-vous avec notre système de logement de joueurs appelé Fortholds Galactiques! Que ce soit surplombant les dunes de sable de Tatooine, le paysage urbain lumineux de Nar Shaddaa, ou les montagnes tranquilles d'Alderaan, il y a une forteresse pour tout le monde. Ces destinations et plus sont disponibles pour votre maison galactique! Marché du cartel. Seuls les articles les plus lisses peuvent se rendre au marché du cartel, le marché premium pour les produits les plus recherchés de la galaxie. Les joueurs qui souhaitent acheter des choses ici devront acheter la monnaie dans le jeu appelé pièces du cartel. En savoir plus sur ce que les pièces du cartel peuvent débloquer sur notre page des pièces du cartel. Avantages pour les abonnés. C'est pas vrai. La vieille République offre un abonnement en option qui vous permet de vivre encore plus de l'univers STAR WARS. Les avantages comprennent un plafond de 80 et l'accès aux plus récentes expansions : Héritage du Sith, de l'Ourslaught, des Chevaliers du Trône éternel et des Chevaliers de l'Empire tombé. En outre, vous recevrez un Cartel Coin Grant mensuel, augmenté XP, et plus encore. Renseignements sur les prestations d'abonnement sur notre page d'abonnement.","Multijoueur,MMO,PvP,Co-op,Steam Succès,Steam Trading Cards, Achats In-App","Gratuit à jouer,Massivement multijoueur,RPG","Gratuit pour jouer,Multijoueur,Customisation des caractères,MMORPG,Open World,RPG,Story Rich,Multijoueur massique,Sci-fi,Choices Matter,Adventure,Action,Espace,Troisième Personne,PvP,Amospheric,Action RPG,Party-Based RPG,Great Soundtrack,CRPG"
Les aventures de Misha,"Misha Adventures est une plateforme difficile dans laquelle vous devez aider Misha l'ours sauver la forêt de la pollution. Histoire du monde: un ver maléfique a décidé de construire son usine près d'une forêt verte. À cause de quoi, la fumée toxique a commencé à se propager dans la forêt, ce qui nuit aux habitants de la forêt. Votre tâche est de traiter le ver maléfique et de sauver la forêt de la mort. Le jeu dispose de 18 niveaux, dont la plupart sont très difficiles. Caractéristiques: - Unusual gameplay - Nice graphiques - Belle bande son","Un seul joueur,Steam Achievements","Aventure, indie","2D Platformer,Visual Novel,Platformer,Adventure,2D,Cute,Pixel Graphics,Colorful,Indie,ATM,Logic,Singleplayer,Stratégie,RPG,Exploration,Stratégie RPG"
3D PUZZLE - Maison en bois,"Recueillir un puzzle 3D, transférer les choses aux bons endroits pour créer une belle maison. Le joueur peut transporter des objets en les prenant avec le bouton gauche de la souris et les placer automatiquement s'il les apportait au bon endroit. Déplacez le joueur sur les touches WASD Vous devez aller à l'article, le prendre en appuyant sur le bouton gauche de la souris et prendre l'article à l'emplacement désiré marqué en vert. Si vous avez apporté l'élément correct, il va se mettre en place et vous recevrez des points de classement et des réalisations pour cela. Recueillir le plus de substance possible le plus rapidement possible pour obtenir plus de points pour le classement. Si vous avez apporté le mauvais article, vous pouvez le jeter, il reviendra à l'emplacement de départ afin que vous puissiez le reprendre.","Un seul joueur, Succès d'équipe, Support complet du contrôleur,Steam Leaderboards","Action, Aventure, Casual, Indie, Simulation","Action,Adventure,Casual,Simulation,Action RPG,Action-Adventure,City Builder,God Game,Puzzle,3D Platformer,Exploration,FPS,Hidden Object,Puzzle-Platformer,Rogue-lite,3D,Colorful,Cute,First-Person,Realistic"
Tactiques Voidspire,"Voidspire Tactics est un RPG Tactics indépendant basé sur l'exploration, la progression des caractères et des combats hautement tactiques. Créez votre propre parti profondément personnalisable de Warriors, Sorciers et Shiftcloaks pour prendre le Spire! Exploration ouverte – traverser un monde non linéaire plein de secrets Un combat tactique raffiné adapté aux débutants comme aux vétérans – facile à apprendre, difficile à maîtriser Choisissez parmi 4 courses jouables, déverrouillez jusqu'à 18 classes, apprenez & mettez à niveau 100+ capacités, et équipez votre choix de 50+ capacités passives Terrain destructible et interactions élémentaires – inondez le champ de bataille, puis choquez tout le monde avec la foudre ! Les capacités sont bonnes pour plus que le simple combat – geler une rivière pour la traverser, ou cultiver des graines en vignes pour les montagnes à l'échelle! Cadre de fantaisie atypique – pas un elfe, orc ou goblin en vue","Un seul joueur,Steam Achievements","Indie,RPG,Stratégie","RPG,Indie,Stratégie,Tactiques basées sur le turn,Tactique RPG,Base sur le turn,Pixel Graphics,2D,Party-Based RPG,Exploration,Class-Based,Stratégie basée sur le turn,Top-Down,Caracter Personnalisation"
La quête,"The Questing Early Access sorti! The Questing est un jeu RPG 3D d'action en un seul jeu dans la fantasy worldview. Balayer les ennemis avec une variété d'armes, de compétences et de magie basé sur Hack & Slash et Roguelite. Explorez une carte large et magnifique. Explorez les villes et résolvez diverses quêtes du PNC. Une bonne récompense vous attend si vous résolvez la quête. Personnalisez votre personnage comme vous voulez. Créez votre propre personnage en combinant cheveux, moustaches, sourcils, tatouages visage et couleurs. Utilisez diverses armes pour chasser les ennemis! Les armes sont en grande partie divisées en armes à courte portée et en armes à longue portée. Les armes rapprochées comprennent les armes à une main, les armes à deux mains, les armes à deux mains et les épées extra-larges, tandis que les armes lointaines ont des arcs ! Chaque arme a son propre mouvement et ses compétences spéciales ! Utilisez diverses magies et compétences pour éliminer les ennemis! Vous pouvez utiliser la magie de soutien pour buffler ou récupérer pendant le combat, et utiliser la magie offensive pour éliminer les ennemis! Et aussi des mises à jour supplémentaires attendent. Un plus grand nombre de villes, NPC, systèmes de pairs, systèmes de conduite tels que les chevaux, systèmes d'artisanat et boutiques réservées aux joueurs seront ajoutés au cours de la période d'accès précoce.",Joueur unique,"Action,Inde,RPG,Accès rapide","Indie,Action RPG,Hack et Slash,RPG,Rogue-lite,PvE,3D,Troisième Personne,Open World,Medieval,Fantasy,Crafting,Gestion d'inventaire,Combat,Action,Singleplayer,Exploration,Early Access,Gore,Violent"
Leviathan Starblade,"Choisissez l'un des trois combattants Léviathan et combattez votre chemin à travers des hordes d'étrangers meurtriers ! Leviathan Starblade est un shamups à défilement vertical (shoot-em up), mais avec les canons frontaux standard chaque navire joueur est également équipé d'une tourelle. Cette tourelle peut tirer ou balancer votre Starblade dans n'importe quelle direction. Le Starblade peut être utilisé pour couper la plupart des projectiles ennemis. Changez entre les armes et les lames pour combattre vos ennemis, mais vous ne pouvez pas activer les deux à la fois. Utilisez vos armes avec sagesse parce que si vous laissez trop d'ennemis passer, alors vous perdez la mission. En utilisant le Starblade pourrait vous empêcher d'être frappé, il vous empêchera également de tirer sur les extraterrestres qui essaient d'envahir la terre. Choisissez judicieusement vos armes et vos tactiques. - Choisissez entre 5 différents Starblades, chacun avec différents avantages - Personnalisez votre chargement d'armes en choisissant deux des 9 canons avec des motifs de tir et des dommages uniques. Échangez vos armes à volonté. - 3 différents modèles de navires avec 76 couleurs et modèles différents à choisir parmi - 18 missions et boss difficiles - 18 pistes musicales personnalisées que vous pouvez basculer entre - Support de contrôleur - Il n'y a pas de vies ou gouttes supplémentaires, mais vous guérissez légèrement entre les missions - Vous ne pouvez pas entrer en collision avec des ennemis normaux, mais tomber sur un patron et des navires énergétiques causeront des dommages - Certains navires ennemis ne peuvent être détruits avec votre Starblade - Tous les effets de sprite, de particules et de musique ont été fabriqués en interne On dit que les anciens dieux ont traversé le ciel sur des bêtes fantastiques. Qu'ils les appellent phénix, anzu, bennu, simurgh, séraphin, suzaku, anka, ou dragons, chaque culture du monde avait des histoires de créatures flamboyantes qui montent à travers les cieux. Seulement ils n'étaient pas des histoires. C'était un vaisseau spatial. Et ils n'étaient pas conduits par des divinités, mais par des êtres anciens pris dans une guerre sans fin. Pendant des milliers d'années, ces seigneurs cosmiques se sont battus dans le grand abîme de l'espace avec leur feu respirant le leviathans. Maintenant, l'équilibre a changé. Les soi-disant dieux qui ont défendu notre secteur ont subi un terrible coup. Ils ne peuvent plus nous protéger. Encore une fois comme dans les siècles passés le conflit s'enroule vers la Terre. Une fois de plus, notre monde va devenir la première ligne de la lutte éternelle. Les horreurs sombres du mythe et de la gloire arrivent. Une fois qu'ils nous ont trouvé proie facile, mais cette fois nous sommes prêts. L'homme ne va plus se cacher devant les anciens maux qui ont menacé nos ancêtres. Jamais plus l'humanité ne sera asservie à la volonté de fausses divinités afin que nous puissions être le fourrage de leurs guerres. C'est notre heure. Nous prendrons ce combat au ciel. Nous montrerons aux bêtes et aux êtres eldritchs de tous les enfers de nos religions et fables ce qui est devenu de l'humanité en leur absence. Et avant que nous soyons dans l'espace lui-même ébullition avec le sang des titans et des démons. Fils et filles de la Terre, préparez-vous. Les dieux et les démons de vos ancêtres sont revenus pour juger. Allons les tuer.","Un seul joueur, Trading par équipe Cartes, Support du contrôleur partiel",Décision,"Action, tire-toi"
La mascarade : Les Baubles de Doom,"Masquerade est une aventure d'action située dans le monde fantastique du Royaume, centré autour d'une bataille pour les mythiques Druid Orbs, la paire de balles la plus puissante de toute la terre. Car on disait que quiconque possédait les Orbes possédait le pouvoir de tout gouverner. Des côtes étrangères vinrent les Clowns, une armée de maniaques moroses déterminés à trouver les Orbes. Et ainsi commença la Grande Invasion Clown. Joignez-vous à Jaxx, l'escroc avisé, et son beau partenaire énigmatique dans le crime, Comedia. Armé d'une carte qui révèle l'emplacement secret des Orbes, Jaxx et Comedia se retrouvent bientôt en fuite de l'Armée Clown. Avec Comedia capturée, vous devez guider Jaxx pour la sauver ET empêcher la carte de tomber dans les mains de ces diaboliques, mauvais, impitoyables, méprisables, Clowns!","Single-player,Steam Succès,Support de contrôleur complet,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play sur TV","Action, Aventure, Casual, Indie","Action, Aventure, Indie, Casual"
